policy,tau_answer,case_type,sample_index,original_id,sufficiency_label,risk_score,decision,gold_answer,naive_answer,naive_em,naive_f1,top5_titles
balanced,0.5,successful_intercept,21,5ae471fa55429970de88d965,insufficient,0.8312405185608722,abstain,Centre-du-Québec,I don't know,0.0,0.0,Cuisine of New Jersey || Papa's Tomato Pies || Province of New Jersey || New York – New Jersey Line War || New Jersey Folk Festival
reliable@cov85,0.4,false_answer,17,5ae0361155429925eb1afc2c,insufficient,0.12244897959183673,answer,Charles Eugène,Charles Nungesser,0.0,0.5,L'Oiseau Blanc || François Coli || Levasseur PL.8 || Paul Sauvage (aviator) || Gervais Raoul Lufbery
reliable@cov85,0.4,false_answer,33,5abcd44655429959677d6af1,insufficient,0.12244897959183673,answer,The population was 753,I don't know,0.0,0.0,"Little Bay Bridge || Little Bay, Newfoundland and Labrador || Brentwood, New Hampshire || Little River (Vancouver Island) || Little River (Humboldt County)"
reliable@cov85,0.4,false_answer,13,5a7224ab55429971e9dc92dd,insufficient,0.375,answer,Patricia Jude Francis Kensit,I don't know,0.0,0.0,Eighth Wonder || Fearless (Eighth Wonder album) || Mark Lindsay || &quot;Weird Al&quot; Yankovic || Tom Petty
reliable@cov85,0.4,over_abstain,53,5abdc18555429965af743e2b,sufficient,0.75,abstain,Hertz,The Hertz Corporation,0.0,0.6666666666666666,Sixt || Enterprise Holdings || Payless Car Rental || The Hertz Corporation || Firefly (car rental)
reliable@cov85,0.4,over_abstain,97,5a8e27d45542995a26add46a,sufficient,0.75,abstain,2004,2004,1.0,1.0,Jaclyn Stapp || Steve Chapin || Creed (band) || Jimmy Farrar || Life Time (Rollins Band album)
reliable@cov85,0.4,over_abstain,2,5a7cde68554299683c1c63ac,sufficient,0.47058823529411764,abstain,censorship,censorship issues,0.0,0.6666666666666666,The Itchy &amp; Scratchy &amp; Poochie Show || The Itchy &amp; Scratchy Show || Itchy &amp; Scratchy &amp; Marge || Itchy &amp; Scratchy: The Movie || Itchy &amp; Scratchy Land
reliable@cov85,0.4,safe_answer,1,5ab56e32554299637185c594,sufficient,0.0,answer,no,I don't know,0.0,0.0,Random House Tower || 888 7th Avenue || Bertelsmann Building || Carnegie Hall Tower || Metropolitan Life Insurance Company Tower
reliable@cov85,0.4,safe_answer,10,5a8aee3d55429950cd6afc01,sufficient,0.0,answer,Clianthus,Clianthus,1.0,1.0,Callicoma || Clianthus || Aceria clianthi || Hibiscus calyphyllus || Oeceoclades calcarata
reliable@cov85,0.4,safe_answer,34,5a83c9e45542992ef85e2361,sufficient,0.0,answer,political satire black comedy film,political satire black comedy film,1.0,1.0,Dr. Strangelove || Benn F. Reyes || Hawk Films || Red Alert (novel) || Slim Pickens
reliable@cov85,0.4,safe_answer,40,5a7a8a9c554299042af8f666,sufficient,0.0,answer,Argand lamp,Lewis lamp,0.0,0.5,Argand lamp || Lewis lamp || Kerosene lamp || Carbon button lamp || Bass Rock Lighthouse
reliable@cov85,0.4,safe_answer,54,5ae26af3554299492dc91c1c,sufficient,0.0,answer,432 Park Avenue,432 Park Avenue,1.0,1.0,Bertelsmann Building || 432 Park Avenue || 245 Park Avenue || Metropolitan Life Insurance Company Tower || 4 World Trade Center
risk_control@suff_abstain15,0.3,successful_intercept,21,5ae471fa55429970de88d965,insufficient,0.8312405185608722,abstain,Centre-du-Québec,I don't know,0.0,0.0,Cuisine of New Jersey || Papa's Tomato Pies || Province of New Jersey || New York – New Jersey Line War || New Jersey Folk Festival
risk_control@suff_abstain15,0.3,successful_intercept,28,5a8f9dca55429918e830d295,insufficient,0.677089579940807,abstain,"Tyler ""Ty"" Mendoza",I don't know,0.0,0.0,Vanessa Marano || Switched at Birth (TV series) || Switched at Birth (season 4) || Starr Manning || List of Switched at Birth episodes
risk_control@suff_abstain15,0.3,successful_intercept,90,5ab2e8ad554299340b525562,insufficient,0.47058823529411764,abstain,Park Ye-jin,Park Ye-jin,1.0,1.0,I Love Lee Tae-ri || The Secret of My Love || My Love from the Star || Miss Korea (TV series) || Secret Love (TV series)
risk_control@suff_abstain15,0.3,successful_intercept,13,5a7224ab55429971e9dc92dd,insufficient,0.375,abstain,Patricia Jude Francis Kensit,I don't know,0.0,0.0,Eighth Wonder || Fearless (Eighth Wonder album) || Mark Lindsay || &quot;Weird Al&quot; Yankovic || Tom Petty
risk_control@suff_abstain15,0.3,successful_intercept,15,5ae0aefe554299603e418437,insufficient,0.375,abstain,Corendon Airlines,I don't know,0.0,0.0,Air Go Airlines || AV8 Air || Turkish Airlines destinations || Air One || Ethiopian Airlines
risk_control@suff_abstain15,0.3,false_answer,11,5ade914b55429939a52fe8f9,insufficient,0.0392156862745098,answer,"""Discover Pure Energy""",I don't know,0.0,0.0,Manta (SeaWorld San Diego) || Top Thrill Dragster || The Riddler's Revenge || Tatsu || Green Lantern Coaster
risk_control@suff_abstain15,0.3,false_answer,20,5a9023d355429916514e742f,insufficient,0.0392156862745098,answer,Prince Antoni Radziwiłł,I don't know,0.0,0.0,"Erna Flegel || Winter Palace of Prince Eugene || Hortus Palatinus || Musée des Arts décoratifs, Strasbourg || Médiathèque Musicale Mahler"
risk_control@suff_abstain15,0.3,false_answer,17,5ae0361155429925eb1afc2c,insufficient,0.12244897959183673,answer,Charles Eugène,Charles Nungesser,0.0,0.5,L'Oiseau Blanc || François Coli || Levasseur PL.8 || Paul Sauvage (aviator) || Gervais Raoul Lufbery
risk_control@suff_abstain15,0.3,false_answer,33,5abcd44655429959677d6af1,insufficient,0.12244897959183673,answer,The population was 753,I don't know,0.0,0.0,"Little Bay Bridge || Little Bay, Newfoundland and Labrador || Brentwood, New Hampshire || Little River (Vancouver Island) || Little River (Humboldt County)"
risk_control@suff_abstain15,0.3,over_abstain,53,5abdc18555429965af743e2b,sufficient,0.75,abstain,Hertz,The Hertz Corporation,0.0,0.6666666666666666,Sixt || Enterprise Holdings || Payless Car Rental || The Hertz Corporation || Firefly (car rental)
risk_control@suff_abstain15,0.3,over_abstain,97,5a8e27d45542995a26add46a,sufficient,0.75,abstain,2004,2004,1.0,1.0,Jaclyn Stapp || Steve Chapin || Creed (band) || Jimmy Farrar || Life Time (Rollins Band album)
risk_control@suff_abstain15,0.3,over_abstain,2,5a7cde68554299683c1c63ac,sufficient,0.47058823529411764,abstain,censorship,censorship issues,0.0,0.6666666666666666,The Itchy &amp; Scratchy &amp; Poochie Show || The Itchy &amp; Scratchy Show || Itchy &amp; Scratchy &amp; Marge || Itchy &amp; Scratchy: The Movie || Itchy &amp; Scratchy Land
risk_control@suff_abstain15,0.3,over_abstain,9,5a72d7b35542991f9a20c5be,sufficient,0.375,abstain,Seventeen,Seventeen,1.0,1.0,Pledis Entertainment || Happy Pledis 2nd Album || Pristin || Seventeen (band) || We (song)
risk_control@suff_abstain15,0.3,over_abstain,22,5add26075542994ed6169c9c,sufficient,0.375,abstain,WAMC,WAMC,1.0,1.0,Eric Plakun || Chicago Public Media || WAMC || New Jersey Network || Freakonomics Radio
risk_control@suff_abstain15,0.3,safe_answer,1,5ab56e32554299637185c594,sufficient,0.0,answer,no,I don't know,0.0,0.0,Random House Tower || 888 7th Avenue || Bertelsmann Building || Carnegie Hall Tower || Metropolitan Life Insurance Company Tower
risk_control@suff_abstain15,0.3,safe_answer,10,5a8aee3d55429950cd6afc01,sufficient,0.0,answer,Clianthus,Clianthus,1.0,1.0,Callicoma || Clianthus || Aceria clianthi || Hibiscus calyphyllus || Oeceoclades calcarata
risk_control@suff_abstain15,0.3,safe_answer,34,5a83c9e45542992ef85e2361,sufficient,0.0,answer,political satire black comedy film,political satire black comedy film,1.0,1.0,Dr. Strangelove || Benn F. Reyes || Hawk Films || Red Alert (novel) || Slim Pickens
risk_control@suff_abstain15,0.3,safe_answer,40,5a7a8a9c554299042af8f666,sufficient,0.0,answer,Argand lamp,Lewis lamp,0.0,0.5,Argand lamp || Lewis lamp || Kerosene lamp || Carbon button lamp || Bass Rock Lighthouse
risk_control@suff_abstain15,0.3,safe_answer,54,5ae26af3554299492dc91c1c,sufficient,0.0,answer,432 Park Avenue,432 Park Avenue,1.0,1.0,Bertelsmann Building || 432 Park Avenue || 245 Park Avenue || Metropolitan Life Insurance Company Tower || 4 World Trade Center
high_precision@cov50,0.05,successful_intercept,21,5ae471fa55429970de88d965,insufficient,0.8312405185608722,abstain,Centre-du-Québec,I don't know,0.0,0.0,Cuisine of New Jersey || Papa's Tomato Pies || Province of New Jersey || New York – New Jersey Line War || New Jersey Folk Festival
high_precision@cov50,0.05,successful_intercept,28,5a8f9dca55429918e830d295,insufficient,0.677089579940807,abstain,"Tyler ""Ty"" Mendoza",I don't know,0.0,0.0,Vanessa Marano || Switched at Birth (TV series) || Switched at Birth (season 4) || Starr Manning || List of Switched at Birth episodes
high_precision@cov50,0.05,successful_intercept,90,5ab2e8ad554299340b525562,insufficient,0.47058823529411764,abstain,Park Ye-jin,Park Ye-jin,1.0,1.0,I Love Lee Tae-ri || The Secret of My Love || My Love from the Star || Miss Korea (TV series) || Secret Love (TV series)
high_precision@cov50,0.05,successful_intercept,13,5a7224ab55429971e9dc92dd,insufficient,0.375,abstain,Patricia Jude Francis Kensit,I don't know,0.0,0.0,Eighth Wonder || Fearless (Eighth Wonder album) || Mark Lindsay || &quot;Weird Al&quot; Yankovic || Tom Petty
high_precision@cov50,0.05,successful_intercept,15,5ae0aefe554299603e418437,insufficient,0.375,abstain,Corendon Airlines,I don't know,0.0,0.0,Air Go Airlines || AV8 Air || Turkish Airlines destinations || Air One || Ethiopian Airlines
high_precision@cov50,0.05,false_answer,11,5ade914b55429939a52fe8f9,insufficient,0.0392156862745098,answer,"""Discover Pure Energy""",I don't know,0.0,0.0,Manta (SeaWorld San Diego) || Top Thrill Dragster || The Riddler's Revenge || Tatsu || Green Lantern Coaster
high_precision@cov50,0.05,false_answer,20,5a9023d355429916514e742f,insufficient,0.0392156862745098,answer,Prince Antoni Radziwiłł,I don't know,0.0,0.0,"Erna Flegel || Winter Palace of Prince Eugene || Hortus Palatinus || Musée des Arts décoratifs, Strasbourg || Médiathèque Musicale Mahler"
high_precision@cov50,0.05,over_abstain,53,5abdc18555429965af743e2b,sufficient,0.75,abstain,Hertz,The Hertz Corporation,0.0,0.6666666666666666,Sixt || Enterprise Holdings || Payless Car Rental || The Hertz Corporation || Firefly (car rental)
high_precision@cov50,0.05,over_abstain,97,5a8e27d45542995a26add46a,sufficient,0.75,abstain,2004,2004,1.0,1.0,Jaclyn Stapp || Steve Chapin || Creed (band) || Jimmy Farrar || Life Time (Rollins Band album)
high_precision@cov50,0.05,over_abstain,2,5a7cde68554299683c1c63ac,sufficient,0.47058823529411764,abstain,censorship,censorship issues,0.0,0.6666666666666666,The Itchy &amp; Scratchy &amp; Poochie Show || The Itchy &amp; Scratchy Show || Itchy &amp; Scratchy &amp; Marge || Itchy &amp; Scratchy: The Movie || Itchy &amp; Scratchy Land
high_precision@cov50,0.05,over_abstain,9,5a72d7b35542991f9a20c5be,sufficient,0.375,abstain,Seventeen,Seventeen,1.0,1.0,Pledis Entertainment || Happy Pledis 2nd Album || Pristin || Seventeen (band) || We (song)
high_precision@cov50,0.05,over_abstain,22,5add26075542994ed6169c9c,sufficient,0.375,abstain,WAMC,WAMC,1.0,1.0,Eric Plakun || Chicago Public Media || WAMC || New Jersey Network || Freakonomics Radio
high_precision@cov50,0.05,safe_answer,1,5ab56e32554299637185c594,sufficient,0.0,answer,no,I don't know,0.0,0.0,Random House Tower || 888 7th Avenue || Bertelsmann Building || Carnegie Hall Tower || Metropolitan Life Insurance Company Tower
high_precision@cov50,0.05,safe_answer,10,5a8aee3d55429950cd6afc01,sufficient,0.0,answer,Clianthus,Clianthus,1.0,1.0,Callicoma || Clianthus || Aceria clianthi || Hibiscus calyphyllus || Oeceoclades calcarata
high_precision@cov50,0.05,safe_answer,34,5a83c9e45542992ef85e2361,sufficient,0.0,answer,political satire black comedy film,political satire black comedy film,1.0,1.0,Dr. Strangelove || Benn F. Reyes || Hawk Films || Red Alert (novel) || Slim Pickens
high_precision@cov50,0.05,safe_answer,40,5a7a8a9c554299042af8f666,sufficient,0.0,answer,Argand lamp,Lewis lamp,0.0,0.5,Argand lamp || Lewis lamp || Kerosene lamp || Carbon button lamp || Bass Rock Lighthouse
high_precision@cov50,0.05,safe_answer,54,5ae26af3554299492dc91c1c,sufficient,0.0,answer,432 Park Avenue,432 Park Avenue,1.0,1.0,Bertelsmann Building || 432 Park Avenue || 245 Park Avenue || Metropolitan Life Insurance Company Tower || 4 World Trade Center
