split,top_k,original_id,question_type,difficulty,question,gold_answer,retrieved_count,support_title_count,retrieved_support_title_count,support_title_coverage,support_present_in_topk,missing_support_titles,retrieved_support_ranks,max_retrieved_support_rank,answer_present_in_returned_docs,top_titles
valid,10,5a70f0e75542994082a3e408,comparison,hard,"Which of these universities, Northwestern University or Johns Hopkins University, have a campus outside of the United States territories?","with other campuses located in Chicago and Doha, Qatar",10,2,0,0.0,0,johns hopkins university || northwestern university,,,0,Mahachulalongkornrajavidyalaya University || University of the Philippines College of Science || Walailak University || Johns (film) || Thaksin University
valid,5,5a70f39c5542994082a3e429,bridge,hard,What is the name of the independent candidate in Maine's 2010 gubernatorial race who finished ahead of Libby Mitchell?,Eliot Cutler,5,2,0,0.0,0,eliot cutler || libby mitchell,,,0,IROC XXX || Sonnee Cohen || John Mitchell (geographer) || William E. Morris (politician) || Mitchell Secondary College
valid,10,5a70f39c5542994082a3e429,bridge,hard,What is the name of the independent candidate in Maine's 2010 gubernatorial race who finished ahead of Libby Mitchell?,Eliot Cutler,10,2,0,0.0,0,eliot cutler || libby mitchell,,,0,IROC XXX || Sonnee Cohen || John Mitchell (geographer) || William E. Morris (politician) || Mitchell Secondary College
valid,5,5a70f4695542994082a3e435,comparison,hard,"Which canal was built between 1836 and 1847, Washington City Canal or Whitewater Canal?",The Whitewater Canal,5,2,0,0.0,0,washington city canal || whitewater canal,,,0,London to Portsmouth canal || Kombanai Pudhur || Tasmanian Government Railways Y class || Washington Senators (1891–99) || Tecoatl
valid,10,5a70f4695542994082a3e435,comparison,hard,"Which canal was built between 1836 and 1847, Washington City Canal or Whitewater Canal?",The Whitewater Canal,10,2,0,0.0,0,washington city canal || whitewater canal,,,0,London to Portsmouth canal || Kombanai Pudhur || Tasmanian Government Railways Y class || Washington Senators (1891–99) || Tecoatl
valid,5,5a7103b35542994082a3e4c0,comparison,hard,"Which mountain, Masherbrum or Khunyang Chhish, is a taller mountain?",Khunyang Chhish,5,2,0,0.0,0,khunyang chhish || masherbrum,,,0,Screamer Mountain || Spirit Mountain Casino || Rocky Mountain High School || Mount Howard (Oregon) || Swatara State Park
valid,10,5a7103b35542994082a3e4c0,comparison,hard,"Which mountain, Masherbrum or Khunyang Chhish, is a taller mountain?",Khunyang Chhish,10,2,0,0.0,0,khunyang chhish || masherbrum,,,0,Screamer Mountain || Spirit Mountain Casino || Rocky Mountain High School || Mount Howard (Oregon) || Swatara State Park
valid,5,5a710bb15542994082a3e50d,bridge,hard,"Which American professional poker player also starred in the 2015 movie ""Extraction""?",Dan Bilzerian,5,2,0,0.0,0,dan bilzerian || extraction (film),,,0,Lamar Lathon || Tavares Washington || Down Argentine Way || Coney Island (1943 film) || Cory Raymer
valid,10,5a710bb15542994082a3e50d,bridge,hard,"Which American professional poker player also starred in the 2015 movie ""Extraction""?",Dan Bilzerian,10,2,0,0.0,0,dan bilzerian || extraction (film),,,0,Lamar Lathon || Tavares Washington || Down Argentine Way || Coney Island (1943 film) || Cory Raymer
test,5,5a71231a5542994082a3e5c4,bridge,hard,"What edible, juicy fruit is grown on a deciduous tree called 'pesco' in Italian?",peach,5,2,0,0.0,0,peach || pesco,,,0,John of La Verna || Pelargopsis || 1899 Italian Football Championship || 1898 Italian Football Championship || 10 feet
test,10,5a71231a5542994082a3e5c4,bridge,hard,"What edible, juicy fruit is grown on a deciduous tree called 'pesco' in Italian?",peach,10,2,0,0.0,0,peach || pesco,,,0,John of La Verna || Pelargopsis || 1899 Italian Football Championship || 1898 Italian Football Championship || 10 feet
test,5,5a7125b95542994082a3e5d5,bridge,hard,"Which town has a greater population as of the 2010 census, Minden, Nevada or Gardnerville, Nevada?",Gardnerville,5,2,0,0.0,0,"gardnerville, nevada || minden, nevada",,,0,"Wescosville, Pennsylvania || Sinegorye || Colón, Venezuela || Kilkivan, Queensland || Rubio, Venezuela"
test,10,5a7125b95542994082a3e5d5,bridge,hard,"Which town has a greater population as of the 2010 census, Minden, Nevada or Gardnerville, Nevada?",Gardnerville,10,2,0,0.0,0,"gardnerville, nevada || minden, nevada",,,0,"Wescosville, Pennsylvania || Sinegorye || Colón, Venezuela || Kilkivan, Queensland || Rubio, Venezuela"
test,5,5a7133565542994082a3e65c,bridge,hard,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",Oldham County,5,2,0,0.0,0,"lake louisvilla, louisville || oldham county, kentucky",,,0,"University of Kentucky College of Pharmacy || Kentucky Route 160 || Kentucky Route 194 || Kentucky Route 38 || United States cities by crime rate (40,000–60,000)"
test,10,5a7133565542994082a3e65c,bridge,hard,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",Oldham County,10,2,0,0.0,0,"lake louisvilla, louisville || oldham county, kentucky",,,0,"University of Kentucky College of Pharmacy || Kentucky Route 160 || Kentucky Route 194 || Kentucky Route 38 || United States cities by crime rate (40,000–60,000)"
test,5,5a7137dc5542994082a3e68a,bridge,hard,Kevin Wayne Durant was named what ?(An Award initiated following 1952-53 NBA Season?,The National Basketball Association's Rookie of the Year,5,2,0,0.0,0,kevin durant || nba rookie of the year award,,,0,"Durant High School || Kevin McDonald (footballer, born 1988) || 120 Days || List of Barnard College people || Denmark at the 1952 Winter Olympics"
test,10,5a7137dc5542994082a3e68a,bridge,hard,Kevin Wayne Durant was named what ?(An Award initiated following 1952-53 NBA Season?,The National Basketball Association's Rookie of the Year,10,2,0,0.0,0,kevin durant || nba rookie of the year award,,,0,"Durant High School || Kevin McDonald (footballer, born 1988) || 120 Days || List of Barnard College people || Denmark at the 1952 Winter Olympics"
test,5,5a713a5a5542994082a3e6a9,bridge,hard,What football club plays in the area between the old tool gates: Brook Bar and Trafford bar?,Manchester United,5,2,0,0.0,0,"manchester united f.c. in european football || old trafford, greater manchester",,,0,Latinos FC || Sunset FC || Scholars International SC || Tornados de Humacao || Racing de Santander
test,10,5a713a5a5542994082a3e6a9,bridge,hard,What football club plays in the area between the old tool gates: Brook Bar and Trafford bar?,Manchester United,10,2,0,0.0,0,"manchester united f.c. in european football || old trafford, greater manchester",,,0,Latinos FC || Sunset FC || Scholars International SC || Tornados de Humacao || Racing de Santander
