reranker_label,reranker_variant_id,selection_key,case_type,original_id,question,gold_answer,label_top5,label_topk,risk_top5,risk_topk,retrieved_more,answered,top5_titles,topk_new_titles,missing_support_top5,missing_support_topk
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a728fbd5542992359bc30f8,Who was convicted of murdering the director of Schoolboy Crush?,Harlow Cuadra and Joseph Kerekes,sufficient,sufficient,0.6244521396632635,0.6244521396632635,0,0,Bryan Kocis || Schoolboy Crush (film) || Brent Everett || Bobby Helms || Average White Band,,,
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a7294b65542991f9a20c509,What is the name of the umcoming horror film adaptation starring Melanie Griffiths daughter?,Suspiria,insufficient,insufficient,0.6894895885226711,0.6894895885226711,0,0,Shining Through || Melanie Tem || Shining Through (disambiguation) || Horror fiction || Melanie (film),,dakota johnson || suspiria upcoming film,dakota johnson || suspiria upcoming film
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a72953b5542994cef4bc357,What Labor member of the House of Representatives in the Australian Parliament was a member of the Australian Labor Party Australian Young Labor?,Tony Burke,insufficient,insufficient,0.7280171246541602,0.7280171246541602,0,0,Mick Young || Andrew Lacey || Australian Labor Party || Australian House of Representatives || Moses Gabb,,australian young labor || tony burke,australian young labor || tony burke
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,false_answer,5a729cc25542991f9a20c532,Which author wrote about a woman captured by the Symbionese Liberation Army?,Paul Avery,insufficient,insufficient,0.19295688247242243,0.19295688247242243,0,1,Symbionese Liberation Army || A Woman's Liberation || Patty Hearst || American Woman (novel) || Murder,,paul avery,paul avery
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a72a3c45542994cef4bc3ac,"What is the birth name of the woman that ""A Woman Called Moses"" is based on?",Araminta Ross,insufficient,insufficient,0.49604081669656847,0.49604081669656847,0,0,"A Woman Called Moses || Harriet, the Woman Called Moses || Cicely Tyson || Thea Musgrave || Slavery in the United States",,harriet tubman,harriet tubman
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a72a9145542994cef4bc3c1,Which player signed to Bayern Munich before the 2012-2013 season was known mostly as a central defender?,Dante,insufficient,insufficient,0.9091652324020711,0.9091652324020711,0,0,2012–13 FC Bayern Munich season || 2013–14 FC Bayern Munich season || 2015–16 FC Bayern Munich season || 1993–94 FC Bayern Munich season || 1995–96 FC Bayern Munich season,,dante footballer,dante footballer
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a72abb95542992359bc3162,Which film was not a 3D computer-animation Cars 3 or Smith!?,Smith!,insufficient,insufficient,0.8486323309475918,0.8486323309475918,0,0,Computer animation || List of 3D rendering software || David A. Smith (computer scientist) || Mixamo || Planes (film),,cars 3 || smith,cars 3 || smith
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a72dcb45542992359bc31af,What company did Rex Maughan aquire?,Aloe Vera of America,sufficient,sufficient,0.5767189557065282,0.5767189557065282,0,0,Rex Maughan || Forever Living Products || Multi-level marketing || Henry Maughan Liardet || Rex Smith Aeroplane Company,,,
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a72f74a55429901807daf59,"Which American comedian born on March 21, 1962, appeared in the movie ""Sleepless in Seattle?""",Rosie O'Donnell,sufficient,sufficient,0.6229153413483578,0.6229153413483578,0,0,Sleepless in Seattle || Gaby Hoffmann || Rita Wilson || Bill Pullman || Rosie O'Donnell,,,
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a7344e95542991f9a20c6ce,What song was number 4 on the charts when a song from FutureSex/LoveSounds was number 1?,Rudebox,insufficient,insufficient,0.40848112977413575,0.40848112977413575,0,0,FutureSex/LoveSound || FutureSex/LoveSounds || FutureSex/LoveShow || Rock music || Justified (album),,rudebox song || sexyback,rudebox song || sexyback
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,false_answer,5a73522d5542994cef4bc541,Altnahinch is located in a county that has a population density of how many per square mile? ,526,insufficient,insufficient,0.3023507462255755,0.3023507462255755,0,1,"List of cities by population density || County Antrim || Pinseque || Daisy, Kentucky || Altnahinch",,altnahinch dam,altnahinch dam
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a7380b955429908901be2d4,"Which film is older, Monsters, Inc. or Earth?","Monsters, Inc.",insufficient,insufficient,0.9097257934255218,0.9097257934255218,0,0,"Monsters, Inc. || Monsters, Inc. (video game) || Monsters, Inc. (franchise) || Media franchise || Monsters, Inc. Scream Team",,earth 2007 film,earth 2007 film
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a739ef955429978a71e904b,"What festival is held every June in Bartlesville, Oklahoma?",OK Mozart,sufficient,sufficient,0.43673990498751786,0.43673990498751786,0,0,"Bartlesville, Oklahoma || OK Mozart Festival || Music festival || Oklahoma || Bartlesville Boosters",,,
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a73b1855542992d56e7e388,Which actor in the film Equus is also in the film The Informers?,Colin Blakely,insufficient,insufficient,0.9027761227033865,0.9027761227033865,0,0,Common Informers Act 1575 || Common Informers Act 1623 || The Informers (1963 film) || Common Informers Act 1588 || Common Informers Act 1951,,colin blakely,colin blakely
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a73b55855429978a71e9086,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,sufficient,sufficient,0.7412685842549479,0.7412685842549479,0,0,Gatwick Airport || Croydon Airport || Heathrow Airport || East Croydon station || List of the busiest airports in Europe,,,
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a73b8d655429908901be31f,"Which university is further North,  University of New Hampshire or Stony Brook University?",Stony Brook University,insufficient,insufficient,0.891698136201377,0.891698136201377,0,0,"Stony Brook University || Stony Brook University Hospital || Stony Brook, New York || List of Stony Brook University buildings || Stony Brook University student housing",,university of new hampshire,university of new hampshire
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,false_answer,5a73d3ea5542992d56e7e3af,Which Native American activist was known for his involvement in the American Indian Movement which addresses incidents of police harassment and racism against Native Americans? ,Arlo Looking Cloud,insufficient,insufficient,0.356041225658405,0.356041225658405,0,1,American Indian Movement || Native Americans in the United States || Indian termination policy || Custer Died for Your Sins || Anna Mae Aquash,,arlo looking cloud,arlo looking cloud
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a74122f55429929fddd83da,"What was the lead single from Boys Like Girls album on which frontman, Martin Johnson co-wrote a song with Taylor Swift? A: Love Drunk",Love Drunk,sufficient,sufficient,0.5993310386669152,0.5993310386669152,0,0,Love Drunk || Two Is Better Than One || Heart Heart Heartbreak || Love Drunk (Boys Like Girls song) || Boys Like Girls,,,
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a74adb455429916b01641c6,"Which occurred first, the first publication of The Ladder or Heat?",The Ladder,insufficient,insufficient,0.869929091133271,0.869929091133271,0,0,"Daughters of Bilitis || The Ladder (magazine) || Lesbian || ONE, Inc. || Money in the Bank ladder match",,heat magazine,heat magazine
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a74d7685542996c70cfae0a,"Who was the murderer sent to ""Old Smokey"" for allegedly commiting ""The Crime of the Century""?",Richard Hauptmann,insufficient,insufficient,0.7584891946897514,0.7584891946897514,0,0,Old Smokey || Cordelia Botkin || Who's the Murderer || Live in Old Smokey || Ronnie Scott,,richard hauptmann,richard hauptmann
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,false_answer,5a74f8bd5542993748c8976a,"Which head coach has led their team for a longer period of time, Tim Cluess or Steve Prohm?",Tim Cluess,insufficient,insufficient,0.38622099855864017,0.38622099855864017,0,1,Tim Cluess || Steve Prohm || Iowa State Cyclones men's basketball || Tim Taylor (ice hockey coach) || 2013–14 Murray State Racers men's basketball team,,2015 16 iona gaels men s basketball team || 2015 16 iowa state cyclones men s basketball team,2015 16 iona gaels men s basketball team || 2015 16 iowa state cyclones men s basketball team
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,false_answer,5a7528e955429929fddd850e,"Which magazine began publication first, Reunions magazine or Money?",Money,insufficient,insufficient,0.2977649523770954,0.2977649523770954,0,1,Reunions magazine || Soap Opera Magazine || Magazine || Young Money (magazine) || Perceptions (magazine),,money magazine,money magazine
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a75377c55429929fddd8514,Which Australian professional women's basketball team has an American playing in it?,Adelaide Lightning,insufficient,insufficient,0.8012784337229684,0.8012784337229684,0,0,Bulgaria women's national basketball team || Logan Thunder (WNBL) || Colorado Chill || Rachel Jarry || Natalie Burton,,adelaide lightning || colleen planeta,adelaide lightning || colleen planeta
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,false_answer,5a75404a55429916b01642be,At what university can the building that served as the fictional household that includes Gomez and Morticia be found?,Syracuse University,insufficient,insufficient,0.2323395192548518,0.2323395192548518,0,1,The Addams Family || Thing (The Addams Family) || Gomez Addams || Morticia Addams || Grandmama (The Addams Family),,hall of languages syracuse university,hall of languages syracuse university
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a7557d75542992d0ec05f68,"Which ""Roseanne"" star is in Scream 2?",Laurie Metcalf,insufficient,insufficient,0.48532867658497014,0.48532867658497014,0,0,Lost Soul (band) || Star (Primal Scream song) || The Roseanne Show || Roseanne Conner || Scream of the Mourning Star,,laurie metcalf || scream 2,laurie metcalf || scream 2
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a7562045542992db947364f,"Which university was founded first, University of California, Berkeley or Saint Louis University?",Saint Louis University,insufficient,insufficient,0.45943766897971333,0.45943766897971333,0,0,"University of California, Berkeley || University of California || Berkeley, California || California || Donald J. Butz",,saint louis university,saint louis university
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a760dcd5542994ccc9186a1,What component was included on the iPad4 that is now a registered trademark in Jamaica? ,Retina Display,insufficient,insufficient,0.8004881077271598,0.8004881077271598,0,0,Retina Display || Registered trademark symbol || Chrono Break || Service mark || IPS panel,,ipad 4th generation,ipad 4th generation
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a7615fb5542992db9473727,Was the famous opera comique that was based on a Prosper Merimee novella a comedy or a tragedy? ,"""Carmen"", perhaps the most famous ""opéra comique"", is a tragedy",insufficient,insufficient,0.6378249297066877,0.6378249297066877,0,0,Carmen || Venus (opera) || Carmen (novella) || Prosper Mérimée || Carmen di Trastevere,,op ra comique,op ra comique
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,false_answer,5a7652435542992d0ec060a5,"Who was the first Russian composer to make a lasting impression internationally, Alessandro Scarlatti or Pyotr Ilyich Tchaikovsky?",Pyotr Ilyich Tchaikovsky,insufficient,insufficient,0.3936433791501255,0.3936433791501255,0,1,Pyotr Ilyich Tchaikovsky || Russian language || Nikolai Rubinstein || Alexander III of Russia || Tchaikovsky (disambiguation),,alessandro scarlatti,alessandro scarlatti
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,false_answer,5a76a0005542993569682c64,"Which American film director is an advisor for Disney, Rick Ray or John Lasseter?",John Alan Lasseter,insufficient,insufficient,0.1607903692233041,0.1607903692233041,0,1,John Lasseter || Walt Disney Animation Studios || Film director || Film producer || DisneyToon Studios,,rick ray,rick ray
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,false_answer,5a76dc2d55429972597f13eb,What song included on the 59th edition of Now That's What I Call Music was written and recorded by an Australian recording artist?,"""Cheap Thrills"" by Sia",insufficient,insufficient,0.19496073135802278,0.19496073135802278,0,1,Now That's What I Call Music! || Call It Whatever (song) || Now That's What I Call Music! 59 (UK series) || Extended play || Bella Thorne,,cheap thrills song || now that s what i call music 59 u s series,cheap thrills song || now that s what i call music 59 u s series
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,false_answer,5a7717635542994aec3b71e3,Who is the writer for an American teen sitcom created by Kim Bass for Nickelodeon?,Wayne Conley,insufficient,insufficient,0.24799122191012546,0.24799122191012546,0,1,Kim Bass || Kenan & Kel || Junkyard Dog (film) || Kill Speed || In Living Color,,king s ransom film,king s ransom film
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a7730015542994aec3b7210,"Which TV series, written by the creators of Robocalypse, is set in Bikini Bottom?",SpongeBob SquarePants,insufficient,insufficient,0.8893177243051558,0.8893177243051558,0,0,Bikini || SpongeBob SquarePants || Legends of Bikini Bottom || Anthology series || List of animated television series,,robocalypse,robocalypse
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a7739f25542994aec3b7234,"What musician is ranked 9th in the Top 100 Greatest Metal Guitarists and started a band in 1990 in Los Angeles, California?",Adam Thomas Jones,insufficient,insufficient,0.5469098364231508,0.5469098364231508,0,0,Kirk Hammett || George Lynch (musician) || Metallica || John Christ || Daron Malakian,,adam jones musician || tool band,adam jones musician || tool band
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a77510b5542994aec3b728b,"What was the name of the Danish musician who died in 1931 and who composed String Quartet No. 4 in F major or Quartet for Two Violins, Viola and Cello in F major, Opus 44 ?",Carl August Nielsen,sufficient,sufficient,0.8270953843826309,0.8270953843826309,0,0,String Quartet No. 4 (Nielsen) || String Quartet No. 3 (Nielsen) || String Quartet No. 1 (Ives) || Carl Nielsen || Cello,,,
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a775f8a5542994aec3b72ba,"Who is the American singer-songwriter, who won an award for Best Female Video at the 2009 MTV Video Music Awards, and wrote a song for the 'AT&T Team USA Soundtrack'?",Taylor Swift,insufficient,insufficient,0.5772682509084611,0.5772682509084611,0,0,Taylor Swift videography || MTV Video Music Award for Best Female Video || 2009 MTV Video Music Awards || MTV Video Music Award for Best New Artist || AT&T Team USA Soundtrack,,change taylor swift song,change taylor swift song
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a776a805542993735360269,What Disney movie was the wrestler with the real name of John William Minton in?,Double Agent,insufficient,insufficient,0.7400099911367763,0.7400099911367763,0,0,"John D. Minton Jr. || Big John Studd || John Minton (artist) || Kentucky Supreme Court || Fort Lauderdale, Florida",,double agent 1987 film,double agent 1987 film
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,false_answer,5a777ca855429949eeb29e6a,What company produced both The Little Mermaid and The Strongest Man in the World?,Walt Disney,insufficient,insufficient,0.19324960050406936,0.19324960050406936,0,1,World's Strongest Man || The Little Mermaid Jr (musical) || The Little Mermaid (musical) || Adventures of the Little Mermaid || 1982 World's Strongest Man,,the little mermaid 1989 film || the strongest man in the world,the little mermaid 1989 film || the strongest man in the world
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,false_answer,5a778a8e5542992a6e59deca,"The American comedy film Krystal stars which actor who appeared in numerous films such as ""Contact"", ""Armageddon"", ""The Perfect Storm"", ""Crash"", ""Blades of Glory"", ""Black Hawk Down"", ""Nine Lives"", etc.?",William Fichtner,insufficient,insufficient,0.1863494761444756,0.1863494761444756,0,1,William Fichtner || Black Hawk Down (film) || The Perfect Storm (film) || Blades of Glory || Crash (2004 film),,krystal film,krystal film
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a778b1e55429949eeb29ee3,What band is a tribute to a band originally known as the Grizzly River Boys?,Nashville Tribute Band,insufficient,insufficient,0.7224647200888487,0.7224647200888487,0,0,Diamond Rio || Boys (Australian band) || University of Montana Grizzly Marching Band || University of Montana || Grizzly Bear (band),,nashville tribute band,nashville tribute band
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a77a44d5542997042120aba,"What census-designated place located in Nassau County, New York has as portions of it's territory, districts of Brian Curran, New York State assemblyman?",Baldwin,sufficient,sufficient,0.5741919337458612,0.5741919337458612,0,0,"Brian F. Curran || Baldwin, Nassau County, New York || Oceanside, New York || Woodbury, Nassau County, New York || North Lynbrook, New York",,,
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a77b0395542997042120ae1,"Which star in the movie Hush was born April 20, 1949?",Jessica Lange,insufficient,insufficient,0.40995501372767545,0.40995501372767545,0,0,The Movie Star || Movie star (disambiguation) || Arthur Lichte || Hush hush || Hush (2005 film),,hush 1998 film || jessica lange,hush 1998 film || jessica lange
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a77c0c05542995d831812a1,What was the name of the person that was interviewed and later written about by John G. Neihardt?,Black Elk,sufficient,sufficient,0.7643896233815071,0.7643896233815071,0,0,Black Elk Speaks || John G. Neihardt State Historic Site || Hilda Neihardt || John Neihardt || Cycle of the West,,,
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,false_answer,5a77c74155429967ab105291,"Which band formed in England, Of Montreal or Vib Gyor?","Vib Gyor was a band that was formed in Leeds, England.",insufficient,insufficient,0.2152899705352565,0.2152899705352565,0,1,"Vib Gyor || Bath, Somerset || Leeds || The Secret (Vib Gyor EP) || ROYGBIV",,of montreal,of montreal
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,false_answer,5a77cb5e55429967ab1052a7,"The voice of Homer Simpson also voices what alien character in the television series ""The Simpsons""?",Kodos,insufficient,insufficient,0.25054150897033783,0.25054150897033783,0,1,Homer Simpson || Dan Castellaneta || Grampa Simpson || Barney Gumble || The Simpsons,,kang and kodos,kang and kodos
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a78ae8b5542990784727730,How far from Sacramento is the flight school in Atwater?,about 115 miles (185 km),insufficient,insufficient,0.902143158359804,0.902143158359804,0,0,"Atwater, California || Atwater High School || Atwater Elementary School District || Merced Union High School District || California",,castle air force base || sierra academy of aeronautics,castle air force base || sierra academy of aeronautics
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a78e86f55429974737f78fb,"What does the unique calendar system in Japan, who the first Emperor of Japan created, emphasize?",the long history of Japan,sufficient,sufficient,0.5523456318488734,0.5523456318488734,0,0,Japanese imperial year || Emperor of Japan || Emperor Jimmu || Japanese calendar || Roman calendar,,,
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a78e9a2554299148911f995,Minor league baseball games that were played between the rivalling teams of the Sooners and the Cowboys were played at the stadium formerly known as what?,Drillers Stadium,insufficient,insufficient,0.8685972252839165,0.8685972252839165,0,0,"Newburgh Night Hawks || Reno Silver Sox || Pocatello, Idaho minor league baseball teams || Newark Bears (International League) || Amarillo Thunderheads",,athletics stadium || bedlam series,athletics stadium || bedlam series
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,false_answer,5a78f3d255429970f5fffdf1,The National Council meets where in the Federal Palace?,Bern,insufficient,insufficient,0.3627613428026242,0.3627613428026242,0,1,Federal Palace of Switzerland || Swiss Federal Council || Lohn Estate || Federal Assembly (Switzerland) || Romansh language,,national council switzerland,national council switzerland
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a79395455429970f5fffe7d,"What was the name of the lead character in the 1960s sitcom ""Get Smart"", which also featured an American actress born in 1933?",Maxwell Smart,insufficient,insufficient,0.4668112548322913,0.4668112548322913,0,0,Barbara Feldon || Character actor || Don Adams || Get Smart || Get Smart (1995 TV series),,get smart again,get smart again
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a79b525554299029c4b5f67,"What performing traditionally from the longest continental mountain range in the world, are Grupo Aymara famous for?",traditional music,sufficient,sufficient,0.4908039895915935,0.4908039895915935,0,0,Grupo Aymara || Cajamarca Region || Andes || List of longest mountain chains on Earth || Amazon rainforest,,,
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a79e1275542990198eaefe7,The 19 high-rise commercial buildings covering 22 acres between 48th and 51st Streets in New York City feature which style of architecture?,The Art Deco style,insufficient,insufficient,0.716568198091958,0.716568198091958,0,0,Rockefeller Center || Midtown Manhattan || Fifth Avenue || List of tallest buildings in New York City || Sixth Avenue (Manhattan),,art deco in the united states,art deco in the united states
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a79ea435542996c55b2dc9e,Who was the captain of the only battleship to provide gunfire support during the Vietnam War?,Rear Adm. J. Edward Snyder,sufficient,sufficient,0.7857184447014515,0.7857184447014515,0,0,USS New Jersey (BB-62) || J. Edward Snyder || Edwin B. Hooper || Operation Market Time || Battleship,,,
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a79f04d5542996c55b2dca7,"Which long-established US university is older: University of California, Berkeley or Syracuse University?","University of California, Berkeley",insufficient,insufficient,0.912228588696595,0.912228588696595,0,0,"University of California, Berkeley || Southside, Berkeley, California || List of University of California, Berkeley alumni || List of University of California, Berkeley faculty || Berkeley, California",,syracuse university,syracuse university
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a7af2a455429931da12c998,"Palm Springs lies in Palm Beach County, the third most populated county in its state. Which major U.S. city is it near?",Miami,sufficient,sufficient,0.5589186110174561,0.5589186110174561,0,0,"Palm Beach County, Florida || Palm Springs, Florida || Broward County, Florida || Miami-Dade County, Florida || Palm Beach State College",,,
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a7b1c6b55429931da12c9ca,"Johnny Edwards and Ian Anderson are singers, who had joined the greater number of bands?","John Douglas ""Johnny"" Edwards",insufficient,insufficient,0.6138751525600891,0.6138751525600891,0,0,Johnny Edwards (musician) || King Kobra || Buster Brown (band) || Foreigner (band) || Johnny Rod,,ian anderson,ian anderson
