split,original_id,question,gold_answer,base_label,oracle_label,base_missing_support_titles,injected_support_title_count,injected_support_titles,base_top_titles,oracle_top_titles
train,5a71095e5542994082a3e4f3,What is the name of Bruce Willis's character in Unbreakable?,David Dunn,sufficient,sufficient,,0,,David Dunn (character) || Bruce Willis filmography || Unbreakable (film) || Bruce Willis || Sam Willis,David Dunn (character) || Unbreakable (film) || Bruce Willis filmography || Bruce Willis || Sam Willis
train,5a7109e95542994082a3e4fa,What town did Sean Robert Francis play in as part of the most successful club in the Republic of Ireland?,"Tallaght, South Dublin",sufficient,sufficient,,0,,Sean Francis (footballer) || Alan McLoughlin || Killester Basketball Club || Ballyhale Shamrocks GAA || Shamrock Rovers F.C.,Sean Francis (footballer) || Shamrock Rovers F.C. || Alan McLoughlin || Killester Basketball Club || Ballyhale Shamrocks GAA
train,5a710a1e5542994082a3e4fd,"What is the genus of the viral disease that has symptoms such as fever, chills, loss of appetite, nausea, muscle pains, and headaches, and has a chance of causing liver damage?",Flavivirus,insufficient,sufficient,flavivirus,1,flavivirus,Yellow fever || Rift Valley fever || Legionnaires' disease || Crimean–Congo hemorrhagic fever || Spondweni fever,Yellow fever || Flavivirus || Rift Valley fever || Legionnaires' disease || Crimean–Congo hemorrhagic fever
train,5a710a915542994082a3e504,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",Scott Treleaven,sufficient,sufficient,,0,,"Scott Treleaven || Edmund Mortimer (actor) || Edmund Mortimer, 2nd Baron Mortimer || Edmund Mortimer McDonald || Edmund Mortimer, 3rd Earl of March","Edmund Mortimer (actor) || Scott Treleaven || Edmund Mortimer, 2nd Baron Mortimer || Edmund Mortimer McDonald || Edmund Mortimer, 3rd Earl of March"
train,5a71148b5542994082a3e567,What was the population of the city where Penobscot Marine Museum is located?,"The population was 2,615",insufficient,sufficient,"searsport, maine",1,"searsport, maine","Penobscot Marine Museum || North Penobscot, Maine || East Central Penobscot, Maine || Penobscot, Maine || Sam Houston (Maine)","Penobscot Marine Museum || Searsport, Maine || North Penobscot, Maine || East Central Penobscot, Maine || Penobscot, Maine"
train,5a7115475542994082a3e56d,"In what movie did a Kenyan-Mexican actress, who graduated from Hampshire College, star in in 2015?",Star Wars: The Force Awakens,insufficient,sufficient,star wars: the force awakens,1,star wars: the force awakens,Lupita Nyong'o || 2015–16 in Kenyan football || Angela Lanza (actress) || Zack Conroy || 2015 in Kenyan football,Lupita Nyong'o || Star Wars: The Force Awakens || 2015–16 in Kenyan football || Angela Lanza (actress) || Zack Conroy
train,5a71166d5542994082a3e576,"Which battle occurred first, the Battle of Manila or the Battle of Guam?",Battle of Guam,insufficient,sufficient,battle of manila (1945),1,battle of manila (1945),"Battle of Manila (1896) || Manila, Kentucky || Battle of Guam (1944) || Battle of Guam (1941) || Battle of Manila (1365)","Battle of Guam (1944) || Battle of Manila (1945) || Battle of Manila (1896) || Manila, Kentucky || Battle of Guam (1941)"
train,5a7119095542994082a3e589,"Who is current vice captain of the English Test team, Jamie Atkinson or Ben Stokes?",Ben Stokes,sufficient,sufficient,,0,,Ben Stokes || Jamie Atkinson || Colleen Atkinson || Meadhbh Stokes || Ben's Brother,Ben Stokes || Jamie Atkinson || Colleen Atkinson || Meadhbh Stokes || Ben's Brother
train,5a7119f75542994082a3e58e,"When was the composer of ""Persian Surgery Dervishes"" born?","June 24, 1935",insufficient,sufficient,terry riley,1,terry riley,Persian Surgery Dervishes || The Tale of the Four Dervishes || Tales of the Dervishes || The Whirling Dervishes (band) || The Wailing Dervishes,Persian Surgery Dervishes || Terry Riley || The Tale of the Four Dervishes || Tales of the Dervishes || The Whirling Dervishes (band)
train,5a711bb55542994082a3e597,"Steven Covey, the father of Sean Covey, wrote what similar sounding title to The 7 Habits of Highly Effective Teens?",The 7 Habits of Highly Effective People,sufficient,sufficient,,0,,The 7 Habits of Highly Effective Teens || Sean Covey || The 7 Habits of Highly Effective People || Delayed judgement || Stephen Covey,Stephen Covey || The 7 Habits of Highly Effective Teens || Sean Covey || The 7 Habits of Highly Effective People || Delayed judgement
train,5a711c535542994082a3e59b,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what? ,Albanian political party in Montenegro,insufficient,sufficient,"albanian coalition ""perspective""",1,"albanian coalition ""perspective""",Albanians in Montenegro || Albanians Decisively || Albanians Together || Darza || Albanians,Albanians in Montenegro || Albanian Coalition &quot;Perspective&quot; || Albanians Decisively || Albanians Together || Darza
train,5a711cb45542994082a3e59f,"Who has won more Grand Slam women's doubles titles, Lisa Raymond or Liezel Huber?",Liezel Huber,insufficient,sufficient,lisa raymond,1,lisa raymond,Liezel Huber || 2008 Wimbledon Championships – Women's Doubles || 2011 Rogers Cup – Women's Doubles || 2012 Rogers Cup – Women's Doubles || 2012 BNP Paribas Open – Women's Doubles,Liezel Huber || Lisa Raymond || 2008 Wimbledon Championships – Women's Doubles || 2011 Rogers Cup – Women's Doubles || 2012 Rogers Cup – Women's Doubles
train,5a711ef85542994082a3e5ac,"Which hospital, the Psychiatric Institute of Washington or Howard University Hospital, is known for serving the African American community including former slaves?",Howard University Hospital,sufficient,sufficient,,0,,Howard University Hospital || Psychiatric Institute of Washington || New York State Psychiatric Institute || Langley Porter Psychiatric Institute || Western State Hospital (Washington),Howard University Hospital || Psychiatric Institute of Washington || New York State Psychiatric Institute || Langley Porter Psychiatric Institute || Western State Hospital (Washington)
train,5a71278c5542994082a3e5e2,What North Carolina native did Danja produce songs for?,J. Cole,insufficient,sufficient,danja (record producer) || j. cole,2,danja (record producer) || j. cole,"Danja production discography || Danja Müsch || Danja, Nigeria || Danja Akulin || Danja (food)","Danja (record producer) || J. Cole || Danja production discography || Danja Müsch || Danja, Nigeria"
train,5a7128b05542994082a3e5f2,"Which film was released first, Laura's Star or Wonder Woman?",Laura's Star,insufficient,sufficient,laura's star || wonder woman (2009 film),2,laura's star || wonder woman (2009 film),Wonder Woman (soundtrack) || Wonder Woman: The Hiketeia || Wonder Woman (JoJo song) || Wonder Woman (Earth-Two) || Publication history of Wonder Woman,Laura's Star || Wonder Woman (2009 film) || Wonder Woman (soundtrack) || Wonder Woman: The Hiketeia || Wonder Woman (JoJo song)
train,5a7129685542994082a3e5fa,"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",Vitor Belfort,insufficient,sufficient,blackzilians || vitor belfort,2,blackzilians || vitor belfort,Thiago Santos (middleweight fighter) || David Branch (fighter) || Ryan Janes (fighter) || Kelvin Gastelum || The Ultimate Fighter: American Top Team vs. Blackzilians,Blackzilians || Vitor Belfort || Thiago Santos (middleweight fighter) || David Branch (fighter) || Ryan Janes (fighter)
train,5a71299e5542994082a3e5fe,Drisheen is what type of product made in Ireland and other parts of Europe?,Black pudding,sufficient,sufficient,,0,,Drisheen || Black pudding || Horticulture Netting or Vegetable Support Net || Daigo (dairy product) || Jig (tool),Black pudding || Drisheen || Horticulture Netting or Vegetable Support Net || Daigo (dairy product) || Jig (tool)
train,5a712af15542994082a3e614,Which show that premiered in May 2011 is hosted by someone with the birth name Richard Kirschner?,My Cat from Hell,insufficient,sufficient,my cat from hell,1,my cat from hell,Kirschner || Cantando 2011 || National Bingo Night (U.S. game show) || Jackson Galaxy || Four Rooms (TV series),Jackson Galaxy || My Cat from Hell || Kirschner || Cantando 2011 || National Bingo Night (U.S. game show)
train,5a712beb5542994082a3e61c,What Golden Globe Award actor starred in the film Little Fugitive? ,Peter Dinklage,insufficient,sufficient,little fugitive (2006 film) || peter dinklage,2,little fugitive (2006 film) || peter dinklage,Golden Globe Award for Best Supporting Actor || Golden Globe Award for New Star of the Year – Actor || Golden Globe Award for Best Actor – Motion Picture Drama || Golden Globe Award for Best Supporting Actor – Motion Picture || Golden Globe Award for Best Actor – Television Series Drama,Little Fugitive (2006 film) || Peter Dinklage || Golden Globe Award for Best Supporting Actor || Golden Globe Award for New Star of the Year – Actor || Golden Globe Award for Best Actor – Motion Picture Drama
train,5a712c4b5542994082a3e622,"What heritage site, known for a British explorer, is listed Seventeen Seventy Australia?",Captain Cook's Landing Place,insufficient,sufficient,james cook,1,james cook,"Cook's Landing Place, Town of Seventeen Seventy || Seventeen Seventy, Queensland || Sinnamon Farm || Mihi Creek heritage site || Original Maryborough Town Site","Cook's Landing Place, Town of Seventeen Seventy || James Cook || Seventeen Seventy, Queensland || Sinnamon Farm || Mihi Creek heritage site"
train,5a712e895542994082a3e636,C.J. Hunter was tested positive for which type of injected steroid before he competed in the 2000 Summer Olympic Games?,anabolic–androgenic steroid (AAS),insufficient,sufficient,nandrolone,1,nandrolone,C. J. Hunter || Hysen Pulaku || Doping at the Asian Games || Nan Aye Khine || Bakhvain Buyadaa,C. J. Hunter || Nandrolone || Hysen Pulaku || Doping at the Asian Games || Nan Aye Khine
train,5a712fca5542994082a3e641,Renáta Tomanová and Larisa Neiland are former professional athletes for what sport?,professional tennis,sufficient,sufficient,,0,,Renáta Tomanová || Larisa Neiland || 2000 Sparkassen Cup – Doubles || 1979 Australian Open – Women's Doubles || Pavel Vojtisek,Larisa Neiland || Renáta Tomanová || 2000 Sparkassen Cup – Doubles || 1979 Australian Open – Women's Doubles || Pavel Vojtisek
train,5a7130365542994082a3e645,"What town did Moe Sedway have success in after Benjamin ""Bugsy"" Siegel's murder?",Las Vegas,sufficient,sufficient,,0,,Moe Sedway || Cohen crime family || Moe Greene || List of Cohen crime family members || Whitey Krakow,Cohen crime family || Moe Sedway || Moe Greene || List of Cohen crime family members || Whitey Krakow
train,5a7131565542994082a3e64f,"Q: Which actor played a role in the comedy series ""30 Rock"" as well as the drama series ""Mad Men""? A: Jon Hamm",Jon Hamm,insufficient,sufficient,live show,1,live show,Jon Hamm || Tea Leaves (Mad Men) || List of Mad Men episodes || Mad Men (season 1) || Signal 30 (Mad Men),Jon Hamm || Live Show || Tea Leaves (Mad Men) || List of Mad Men episodes || Mad Men (season 1)
train,5a7133fa5542994082a3e660,What is the relation between current manager of Chinese club Tianjin Quanjian and Paolo Cannavaro?,brother,sufficient,sufficient,,0,,Fabio Cannavaro || Paolo Cannavaro || Tianjin Quanjian F.C. || 2017 Tianjin Quanjian F.C. season || Quanjian Group,Fabio Cannavaro || Paolo Cannavaro || Tianjin Quanjian F.C. || 2017 Tianjin Quanjian F.C. season || Quanjian Group
train,5a7136e25542994082a3e67e,"What Hong Kong actor born in 1980 will star in ""Heart and Greed""?",Bosco Wong Chung-chak,insufficient,sufficient,bosco wong || heart and greed,2,bosco wong || heart and greed,The Greed of Man || Heart of Greed || The Star (Hong Kong) || List of Hong Kong films of 1980 || Johnny Ngan,Bosco Wong || Heart and Greed || The Greed of Man || Heart of Greed || The Star (Hong Kong)
train,5a71380c5542994082a3e68b,What iron-hulled steamship designed by Theodore Timby was The Orleans County Monitor Newspaper named after? ,"USS ""Monitor""",sufficient,sufficient,,0,,USS Monitor || Theodore Timby || Orleans County Monitor || SS Coya || Hassler (vessel),Orleans County Monitor || USS Monitor || Theodore Timby || SS Coya || Hassler (vessel)
train,5a713ea95542994082a3e6e4,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,Apalachees,insufficient,sufficient,indigenous peoples of florida,1,indigenous peoples of florida,Alvaro Mexia || List of people who took refuge in a diplomatic mission || Estanislao || Santa Ynez Band of Chumash Mission Indians || Koinjmal tribe,Alvaro Mexia || Indigenous peoples of Florida || List of people who took refuge in a diplomatic mission || Estanislao || Santa Ynez Band of Chumash Mission Indians
train,5a713f3c5542994082a3e6eb,Where does the train that runs from NYC and Miami station at in Florida?,Jacksonville station,insufficient,sufficient,jacksonville station || silver meteor,2,jacksonville station || silver meteor,"Lakeland station || Fire Station No. 4 (Miami, Florida) || Fire Station No. 2 (Miami, Florida) || Miami station (Amtrak) || Miami Avenue station","Jacksonville station || Silver Meteor || Lakeland station || Fire Station No. 4 (Miami, Florida) || Fire Station No. 2 (Miami, Florida)"
train,5a7140585542994082a3e6fa,Seal Harris was born in what county?,Polk County,insufficient,sufficient,"cedartown, georgia || seale harris",2,"cedartown, georgia || seale harris","Seal Harris || Elmer Frank Harris || Seal of Northampton County, Virginia || Seal, Ohio || Seal of Denver","Cedartown, Georgia || Seale Harris || Seal Harris || Elmer Frank Harris || Seal of Northampton County, Virginia"
train,5a71419f5542994082a3e70d,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",1981 World Rowing Championships,insufficient,sufficient,1981 world rowing championships,1,1981 world rowing championships,Reima Karppinen || Annelie Ehrhardt || Klaes Karppinen || Michael Alston || 1025 Riema,Reima Karppinen || 1981 World Rowing Championships || Annelie Ehrhardt || Klaes Karppinen || Michael Alston
train,5a71446b5542994082a3e72a,Who signed into law the act made to lower barriers to adoption?,President Bill Clinton,sufficient,sufficient,,0,,Adoption and Safe Families Act || Adoption 2002 || Uniform Adoption Act || Adoption Act 1958 || Adoption and Children (Scotland) Act 2007,Adoption 2002 || Adoption and Safe Families Act || Uniform Adoption Act || Adoption Act 1958 || Adoption and Children (Scotland) Act 2007
train,5a7145d55542994082a3e73c,"Which person went into space at a later date, Sigmund Jähn or Christer Fuglesang?",Christer Fuglesang,sufficient,sufficient,,0,,Christer Fuglesang || Sigmund Jähn || Nils Fuglesang || Fuglesang || Signe Horn Fuglesang,Christer Fuglesang || Sigmund Jähn || Nils Fuglesang || Fuglesang || Signe Horn Fuglesang
train,5a7147fd5542994082a3e758,When was the king that started coin production in Copenhagen born?,2 February 1455,insufficient,sufficient,"john, king of denmark || royal mint (denmark)",2,"john, king of denmark || royal mint (denmark)",Jacobus || Cavallo (coin) || Pistole (Scottish coin) || Crown (English coin) || One guilder coin (1840–49),"John, King of Denmark || Royal Mint (Denmark) || Jacobus || Cavallo (coin) || Pistole (Scottish coin)"
train,5a7148005542994082a3e759,"What tower house near Aberchirder, Aberdeenshire did David Gregory inherit?",Kinnairdy Castle,insufficient,sufficient,david gregory (physician),1,david gregory (physician),"List of listed buildings in Aberchirder, Aberdeenshire || Kinnairdy Castle || Aberchirder || Inverkeithny || Irvin Duguid","Kinnairdy Castle || David Gregory (physician) || List of listed buildings in Aberchirder, Aberdeenshire || Aberchirder || Inverkeithny"
train,5a7148d25542994082a3e766,"Which of these artists is older, Warrel Dane or Roy Khan?",Warrel Dane,sufficient,sufficient,,0,,Warrel Dane || Roy Khan || Black Knight (Dane Whitman) || Dreaming Neon Black || Roy Marika,Roy Khan || Warrel Dane || Black Knight (Dane Whitman) || Dreaming Neon Black || Roy Marika
train,5a7149595542994082a3e76f,Who starred in Love and other drugs and The Simpsons?,"Henry Albert ""Hank"" Azaria",insufficient,sufficient,hank azaria,1,hank azaria,"Love & Other Drugs || Simpsons Illustrated || I Love You, Beth Cooper || To Courier with Love || I'm on Drugs","Love & Other Drugs || Hank Azaria || Simpsons Illustrated || I Love You, Beth Cooper || To Courier with Love"
train,5a7149cf5542994082a3e773,What 2015 British-Canadian-Irish romantic drama was Finola Dwyer a producer of?,Brooklyn,insufficient,sufficient,brooklyn (film),1,brooklyn (film),Finola Dwyer || Amanda Posey || Finola O'Donnell || Danny O'Dwyer || Finola O'Farrell,Finola Dwyer || Brooklyn (film) || Amanda Posey || Finola O'Donnell || Danny O'Dwyer
train,5a714de95542994082a3e7a8,"Alexander Young, also known as George Alexander, is the uncle to which Scottish musician who replaced Malcolm Young in the band AC/DC in 2014?",Stephen Crawford Young,sufficient,sufficient,,0,,Alexander Young (musician) || Stevie Young || Malcolm Young || AC/DC || Danger (AC/DC song),Alexander Young (musician) || Stevie Young || Malcolm Young || AC/DC || Danger (AC/DC song)
train,5a714f6f5542994082a3e7b3,How many people live in the County serviced by The Collier Area Transit system?,"321,520",insufficient,sufficient,"collier county, florida",1,"collier county, florida",Collier Area Transit || County of Lackawanna Transit System || Muskegon Area Transit System || Huntington Area Rapid Transit || Cleveland Area Rapid Transit,"Collier Area Transit || Collier County, Florida || County of Lackawanna Transit System || Muskegon Area Transit System || Huntington Area Rapid Transit"
train,5a7150c75542994082a3e7be,What is the capacity of the stadium that hosts games of the team that was coached by Barry Switzer in 1981?,"86,112",insufficient,sufficient,gaylord family oklahoma memorial stadium,1,gaylord family oklahoma memorial stadium,1981 Oklahoma Sooners football team || Barry Switzer Center || 1982 Oklahoma Sooners football team || 1976 Oklahoma Sooners football team || 1983 Oklahoma Sooners football team,1981 Oklahoma Sooners football team || Gaylord Family Oklahoma Memorial Stadium || Barry Switzer Center || 1982 Oklahoma Sooners football team || 1976 Oklahoma Sooners football team
train,5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,insufficient,sufficient,kansas song,1,kansas song,University of Kansas || Tarumanagara University || List of University of Kansas people || Satellite campus || Bernadette Gray-Little,University of Kansas || Kansas Song || Tarumanagara University || List of University of Kansas people || Satellite campus
train,5a71674f5542994082a3e819,When was the magazine Sam Duckworth got his name Get Cape. Wear Cape. Fly from launched?,January 2004,insufficient,sufficient,retro gamer,1,retro gamer,Get Cape. Wear Cape. Fly || Get Cape. Wear Cape. Fly (EP) || Get Cape. Wear Cape. Fly (album) || The Chronicles of a Bohemian Teenager || Searching for the Hows and Whys,Get Cape. Wear Cape. Fly || Retro Gamer || Get Cape. Wear Cape. Fly (EP) || Get Cape. Wear Cape. Fly (album) || The Chronicles of a Bohemian Teenager
train,5a716a9b5542994082a3e821,"What actor from ""Willow"" also starred in ""The Usual Suspects""?",Kevin Elliot Pollak,insufficient,sufficient,kevin pollak,1,kevin pollak,The Usual Suspects (album) || Usual Suspects (album) || Those Usual Suspects || The Usual Suspects || Kevin Spacey filmography,The Usual Suspects || Kevin Pollak || The Usual Suspects (album) || Usual Suspects (album) || Those Usual Suspects
train,5a716dc15542994082a3e82b,Who is younger Kirk Humphreys or Tom Coburn?,Kirk Humphreys,sufficient,sufficient,,0,,Kirk Humphreys || Tom Coburn || Sarah Coburn || O. W. Coburn School of Law || Tom Kirk (cricketer),Kirk Humphreys || Tom Coburn || Sarah Coburn || O. W. Coburn School of Law || Tom Kirk (cricketer)
train,5a716ec85542994082a3e82d,"Which movie was filmed first ""The Guest"" or ""You're Next""?",You're Next,insufficient,sufficient,the guest (film),1,the guest (film),"In the Next World, You're on Your Own || You're Next || Relentless 3 || Adam Wingard || You're a Sweetheart","You're Next || The Guest (film) || In the Next World, You're on Your Own || Relentless 3 || Adam Wingard"
train,5a7172105542994082a3e837,What film did Tom Wu appear in that also starred Jason Statham and Ray Liotta? ,Revolver,insufficient,sufficient,tom wu,1,tom wu,Jason Statham || Revolver (2005 film) || Ray Liotta || In the Name of the King || 13 (2010 film),Revolver (2005 film) || Tom Wu || Jason Statham || Ray Liotta || In the Name of the King
train,5a717d4c5542994082a3e854,"Who has written more than 300 papers, Semyon Aranovich Gershgorin or Pavel Alexandrov?",Pavel Sergeyevich Alexandrov,sufficient,sufficient,,0,,Semyon Aranovich Gershgorin || Semyon Aranovich || Pavel Alexandrov || Gershgorin circle theorem || Pavel Alexandrovich Alexandrov,Pavel Alexandrov || Semyon Aranovich Gershgorin || Semyon Aranovich || Gershgorin circle theorem || Pavel Alexandrovich Alexandrov
train,5a7180205542994082a3e856,"The creator of ""Wallace and Gromit"" also created what animation comedy that matched animated zoo animals with a soundtrack of people talking about their homes? ",Creature Comforts,insufficient,sufficient,nick park,1,nick park,Creature Comforts || Wallace & Gromit: The Best of Aardman Animation || Wallace & Gromit in Project Zoo || Wallace and Gromit || A Matter of Loaf and Death,Creature Comforts || Nick Park || Wallace & Gromit: The Best of Aardman Animation || Wallace & Gromit in Project Zoo || Wallace and Gromit
train,5a7183575542994082a3e85e,"Who was the architect of a Dutch museum dedicated to the arts and history in Amsterdam, located at the Museum Square?",Petrus Josephus Hubertus (Pierre) Cuypers,insufficient,sufficient,pierre cuypers,1,pierre cuypers,Rijksmuseum || Amsterdam Pipe Museum || Museum of Fine Arts and Ceramics (Jakarta) || Van Gogh Museum || Amsterdam University of the Arts,Rijksmuseum || Pierre Cuypers || Amsterdam Pipe Museum || Museum of Fine Arts and Ceramics (Jakarta) || Van Gogh Museum
train,5a7184675542994082a3e864,What is the manufacturer of the car used by the Ford CD2 platform's design inspiration?,Mazda,insufficient,sufficient,mazda capella,1,mazda capella,Ford CD2 platform || Ford CDW27 platform || Ford B platform || Ford MN12 platform || Ford CD3 platform,Ford CD2 platform || Mazda Capella || Ford CDW27 platform || Ford B platform || Ford MN12 platform
train,5a7195a05542994082a3e881,in what year did the Israeli presidential elections take place after the resignation of the seventh president of Israel?,2000,insufficient,sufficient,ezer weizman,1,ezer weizman,"Israeli presidential election, 2000 || Israeli presidential election, 1988 || Israeli presidential election, 1998 || Israeli presidential election, 1983 || Israeli presidential election, 1993","Israeli presidential election, 2000 || Ezer Weizman || Israeli presidential election, 1988 || Israeli presidential election, 1998 || Israeli presidential election, 1983"
train,5a7199725542994082a3e88f,"Which publication still relies on paper printing, Human Events or Texas Highways? ",Texas Highways,insufficient,sufficient,texas highways,1,texas highways,"Human Events || Museum of Paper Making and Printing, Łódź || National Union of Printing and Paper Workers || National Union of Printing, Bookbinding and Paper Workers || Printing and writing paper","Human Events || Texas Highways || Museum of Paper Making and Printing, Łódź || National Union of Printing and Paper Workers || National Union of Printing, Bookbinding and Paper Workers"
train,5a719bf25542994082a3e891,The astronomer who formulated the theory of stellar nucleosynthesis co-authored what landmark paper?,BFH,insufficient,sufficient,b2fh paper,1,b2fh paper,Fred Hoyle || Stellar nucleosynthesis || Neutron capture nucleosynthesis || Daniel Chalonge || Nucleosynthesis,Fred Hoyle || B2FH paper || Stellar nucleosynthesis || Neutron capture nucleosynthesis || Daniel Chalonge
train,5a7211e655429971e9dc923c,"What Finnish Christmas figure, which eventually become more or less conflated with Santa Claus, has modern representations typically made of straw.?",The Yule goat,sufficient,sufficient,,0,,Joulupukki || Santa Claus (disambiguation) || Mikulás || Yule Goat || Santa Claus,Joulupukki || Yule Goat || Santa Claus (disambiguation) || Mikulás || Santa Claus
train,5a72120e55429971e9dc923f,"What is the name of the light rail station on the MAX Blue line 7 mi west of Portland, Oregon?",Beaverton Creek,insufficient,sufficient,"beaverton creek max station || beaverton, oregon",2,"beaverton creek max station || beaverton, oregon",E 102nd Ave MAX Station || Skidmore Fountain MAX Station || E 162nd Ave MAX Station || E 122nd Ave MAX Station || E 172nd Ave MAX Station,"Beaverton Creek MAX Station || Beaverton, Oregon || E 102nd Ave MAX Station || Skidmore Fountain MAX Station || E 162nd Ave MAX Station"
train,5a72125055429971e9dc9241,"What is the scientific name of the true creature featured in ""Creature from the Black Lagoon?",Eucritta melanolimnetes,sufficient,sufficient,,0,,Eucritta || Creature from the Black Lagoon: The Musical || Cultural impact of Creature from the Black Lagoon || Creature from the Black Lagoon || Creature from the Black Lagoon (pinball),Creature from the Black Lagoon || Eucritta || Creature from the Black Lagoon: The Musical || Cultural impact of Creature from the Black Lagoon || Creature from the Black Lagoon (pinball)
