method,split,top_k,original_id,question_type,difficulty,question,gold_answer,retrieved_count,linked_doc_count_topk,support_title_count,retrieved_support_title_count,support_title_coverage,support_present_in_topk,missing_support_titles,retrieved_support_ranks,max_retrieved_support_rank,answer_present_in_returned_docs,top_titles,top_paths
link_bridge_a0p70_p0p00,train,5,5a70eee85542994082a3e3f0,bridge,hard,"Which group of people in West Africa with significant populations in Ghana, Ivory Coast, Liberia and Sierra Leone use the Ida?",The Yoruba,5,0,2,0,0.0,0,ida (sword) || yoruba people,,,0,Operational Service Medal for Sierra Leone || Southern Sierra Miwok || Leone Frollo || List of companies of Swaziland || Harbaville Triptych,firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,valid,10,5a7103b35542994082a3e4c0,comparison,hard,"Which mountain, Masherbrum or Khunyang Chhish, is a taller mountain?",Khunyang Chhish,10,0,2,0,0.0,0,khunyang chhish || masherbrum,,,0,Screamer Mountain || Spirit Mountain Casino || Ling Yen Mountain Temple || Rocky Mountain High School || Satah Mountain,firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,valid,5,5a710bb15542994082a3e50d,bridge,hard,"Which American professional poker player also starred in the 2015 movie ""Extraction""?",Dan Bilzerian,5,0,2,0,0.0,0,dan bilzerian || extraction (film),,,0,E. J. Stewart || Lamar Lathon || Tavares Washington || Steve Hamer || Sarjit Bains,firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,valid,10,5a710bb15542994082a3e50d,bridge,hard,"Which American professional poker player also starred in the 2015 movie ""Extraction""?",Dan Bilzerian,10,0,2,0,0.0,0,dan bilzerian || extraction (film),,,0,E. J. Stewart || Lamar Lathon || Tavares Washington || Steve Hamer || Sarjit Bains,firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,test,5,5a71231a5542994082a3e5c4,bridge,hard,"What edible, juicy fruit is grown on a deciduous tree called 'pesco' in Italian?",peach,5,0,2,0,0.0,0,peach || pesco,,,0,Dollman's tree mouse || The One Tree || Adansonia madagascariensis || Suslin representation || John of La Verna,firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,test,10,5a71231a5542994082a3e5c4,bridge,hard,"What edible, juicy fruit is grown on a deciduous tree called 'pesco' in Italian?",peach,10,0,2,0,0.0,0,peach || pesco,,,0,Dollman's tree mouse || The One Tree || Adansonia madagascariensis || Suslin representation || John of La Verna,firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,test,5,5a7125b95542994082a3e5d5,bridge,hard,"Which town has a greater population as of the 2010 census, Minden, Nevada or Gardnerville, Nevada?",Gardnerville,5,0,2,0,0.0,0,"gardnerville, nevada || minden, nevada",,,0,"Novoulyanovsk || Kurovskoye, Moscow Oblast || Inza, Russia || Zhukov, Kaluga Oblast || Steep Falls, Maine",firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,test,10,5a7125b95542994082a3e5d5,bridge,hard,"Which town has a greater population as of the 2010 census, Minden, Nevada or Gardnerville, Nevada?",Gardnerville,10,0,2,0,0.0,0,"gardnerville, nevada || minden, nevada",,,0,"Novoulyanovsk || Kurovskoye, Moscow Oblast || Inza, Russia || Zhukov, Kaluga Oblast || Steep Falls, Maine",firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,test,5,5a7133565542994082a3e65c,bridge,hard,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",Oldham County,5,0,2,0,0.0,0,"lake louisvilla, louisville || oldham county, kentucky",,,0,"Alan Dayton || Lexington Financial Center || Changtu County || Grace Methodist Episcopal Church (Newport, Kentucky) || Battle of Salyersville",firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,test,10,5a7133565542994082a3e65c,bridge,hard,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",Oldham County,10,0,2,0,0.0,0,"lake louisvilla, louisville || oldham county, kentucky",,,0,"Alan Dayton || Lexington Financial Center || Changtu County || Grace Methodist Episcopal Church (Newport, Kentucky) || Battle of Salyersville",firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,test,5,5a7137dc5542994082a3e68a,bridge,hard,Kevin Wayne Durant was named what ?(An Award initiated following 1952-53 NBA Season?,The National Basketball Association's Rookie of the Year,5,0,2,0,0.0,0,kevin durant || nba rookie of the year award,,,0,"Durant High School || Calvert L. Willey Award || Charles Wayne Day || Kevin McDonald (footballer, born 1988) || William V. Cruess Award",firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,test,10,5a7137dc5542994082a3e68a,bridge,hard,Kevin Wayne Durant was named what ?(An Award initiated following 1952-53 NBA Season?,The National Basketball Association's Rookie of the Year,10,0,2,0,0.0,0,kevin durant || nba rookie of the year award,,,0,"Durant High School || Calvert L. Willey Award || Charles Wayne Day || Kevin McDonald (footballer, born 1988) || William V. Cruess Award",firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,test,5,5a713a5a5542994082a3e6a9,bridge,hard,What football club plays in the area between the old tool gates: Brook Bar and Trafford bar?,Manchester United,5,0,2,0,0.0,0,"manchester united f.c. in european football || old trafford, greater manchester",,,0,Maghull F.C. || Latinos FC || Sunset FC || Deportivo Laferrere || Club Atlético El Linqueño,firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,test,10,5a713a5a5542994082a3e6a9,bridge,hard,What football club plays in the area between the old tool gates: Brook Bar and Trafford bar?,Manchester United,10,0,2,0,0.0,0,"manchester united f.c. in european football || old trafford, greater manchester",,,0,Maghull F.C. || Latinos FC || Sunset FC || Deportivo Laferrere || Club Atlético El Linqueño,firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
